"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
2513,"2021-01-01 00:00:11.9020","2021-01-01 00:42:05.2260",3581,"Underhill Ave & Lincoln Pl",40.6740123,-73.9671457,3581,"Underhill Ave & Lincoln Pl",40.6740123,-73.9671457,47812,"Customer",1969,0
2519,"2021-01-01 00:00:15.0960","2021-01-01 00:42:14.9780",3581,"Underhill Ave & Lincoln Pl",40.6740123,-73.9671457,3581,"Underhill Ave & Lincoln Pl",40.6740123,-73.9671457,47571,"Customer",1969,0
1207,"2021-01-01 00:00:28.9300","2021-01-01 00:20:36.6510",3144,"E 81 St & Park Ave",40.77677702,-73.9590097,3724,"7 Ave & Central Park South",40.7667405590595,-73.9790689945221,37451,"Subscriber",2002,1
2506,"2021-01-01 00:00:32.7130","2021-01-01 00:42:19.3980",3581,"Underhill Ave & Lincoln Pl",40.6740123,-73.9671457,3581,"Underhill Ave & Lincoln Pl",40.6740123,-73.9671457,48884,"Customer",2002,1
959,"2021-01-01 00:00:35.3650","2021-01-01 00:16:34.6010",534,"Water - Whitehall Plaza",40.70255065,-74.0127234,332,"Cherry St",40.71219906,-73.97948148,26837,"Customer",2002,1
2447,"2021-01-01 00:01:18.3190","2021-01-01 00:42:05.8660",319,"Fulton St & Broadway",40.711066,-74.009447,3314,"W 95 St & Broadway",40.7937704,-73.971888,35136,"Subscriber",1972,1
1147,"2021-01-01 00:01:31.7440","2021-01-01 00:20:39.5490",3144,"E 81 St & Park Ave",40.77677702,-73.9590097,3724,"7 Ave & Central Park South",40.7667405590595,-73.9790689945221,48135,"Customer",1998,1
2426,"2021-01-01 00:01:46.4180","2021-01-01 00:42:13.3210",3581,"Underhill Ave & Lincoln Pl",40.6740123,-73.9671457,3581,"Underhill Ave & Lincoln Pl",40.6740123,-73.9671457,49619,"Customer",1969,0
128,"2021-01-01 00:02:39.8230","2021-01-01 00:04:47.8720",3294,"E 91 St & Park Ave",40.7835016,-73.955327,3336,"E 97 St & Madison Ave",40.787801,-73.953559,47945,"Subscriber",1992,1
477,"2021-01-01 00:02:42.2770","2021-01-01 00:10:40.0660",3372,"E 74 St & 1 Ave",40.7689738,-73.95482273,3391,"E 106 St & 1 Ave",40.7892529,-73.93956237,36267,"Subscriber",1990,1
1324,"2021-01-01 00:03:09.6580","2021-01-01 00:25:13.7610",3301,"Columbus Ave & W 95 St",40.7919557,-73.968087,4044,"8 Ave & W 38 St",40.75461,-73.99177,47628,"Subscriber",2003,1
781,"2021-01-01 00:03:10.1510","2021-01-01 00:16:11.4940",500,"Broadway & W 51 St",40.76228826,-73.98336183,507,"E 25 St & 2 Ave",40.73912601,-73.97973776,36719,"Subscriber",1994,1
439,"2021-01-01 00:03:12.6160","2021-01-01 00:10:31.8880",3739,"Perry St & Greenwich Ave",40.735918,-74.000939,3256,"Pier 40 - Hudson River Park",40.7277140777778,-74.01129573583603,49539,"Subscriber",1972,2
309,"2021-01-01 00:03:19.4120","2021-01-01 00:08:29.0350",356,"Bialystoker Pl & Delancey St",40.71622644,-73.98261206,151,"Cleveland Pl & Spring St",40.722103786686034,-73.99724900722504,49729,"Subscriber",1975,1
1047,"2021-01-01 00:03:35.3090","2021-01-01 00:21:02.9800",3144,"E 81 St & Park Ave",40.77677702,-73.9590097,3724,"7 Ave & Central Park South",40.7667405590595,-73.9790689945221,39149,"Customer",1969,0
1639,"2021-01-01 00:03:50.1410","2021-01-01 00:31:09.7360",536,"1 Ave & E 30 St",40.74144387,-73.97536082,3312,"1 Ave & E 94 St",40.7817212,-73.94594,45411,"Subscriber",1996,1
108,"2021-01-01 00:04:33.0760","2021-01-01 00:06:21.5650",317,"E 6 St & Avenue B",40.72453734,-73.98185424,301,"E 2 St & Avenue B",40.72217444,-73.98368779,47631,"Subscriber",1996,1
1200,"2021-01-01 00:04:39.3990","2021-01-01 00:24:40.0350",447,"8 Ave & W 52 St",40.76370739,-73.9851615,3169,"Riverside Dr & W 82 St",40.78720869,-73.98128127,28582,"Customer",1969,0
192,"2021-01-01 00:04:40.2830","2021-01-01 00:07:52.4460",3131,"E 68 St & 3 Ave",40.76712840349542,-73.96224617958069,3355,"E 66 St & Madison Ave",40.76800889305947,-73.96845281124115,42421,"Subscriber",1961,1
240,"2021-01-01 00:04:44.5290","2021-01-01 00:08:45.2180",447,"8 Ave & W 52 St",40.76370739,-73.9851615,513,"W 56 St & 10 Ave",40.768254,-73.988639,40883,"Subscriber",1980,1
